video/close					Menu_File_Close_Video			FrameMain::OnCloseVideo
video/detach				Menu_Video_Detach				FrameMain::OnDetachVideo
video/details				Menu_Video_Details				FrameMain::OnOpenVideoDetails
video/focus_seek			Video_Focus_Seek				FrameMain::OnFocusSeek
video/frame/next			Video_Next_Frame				FrameMain::OnNextFrame
video/frame/play			Video_Frame_Play				FrameMain::OnVideoPlay
video/frame/prev			Video_Prev_Frame				FrameMain::OnPrevFrame
video/jump					Menu_Video_JumpTo				FrameMain::OnJumpTo
video/jump/end				Menu_Subs_Snap_Video_To_End		FrameMain::OnSnapVidToSubsEnd
video/jump/start			Menu_Subs_Snap_Video_To_Start	FrameMain::OnSnapVidToSubsStart
video/open					Menu_File_Open_Video			FrameMain::OnOpenVideo
video/open/dummy			Menu_Video_Dummy				FrameMain::OnDummyVideo
video/show_overscan			Menu_Video_Overscan				FrameMain::OnOverscan
video/zoom/100				Menu_View_Zoom_100				FrameMain::OnSetZoom100
video/zoom/200				Menu_View_Zoom_200				FrameMain::OnSetZoom200
video/zoom/50				Menu_View_Zoom_50				FrameMain::OnSetZoom50
video/zoom/in				Menu_Video_Zoom_In				FrameMain::OnZoomIn
video/zoom/out				Menu_Video_Zoom_Out				FrameMain::OnZoomOut
